candidate_id,page_stub,page_url,image_url,local_path,domain,file_name,width,height,format,mode,file_size_bytes,area,aspect_ratio,is_downloaded_and_valid,label,split,is_tiny,is_suspicious_domain,has_ui_keyword
page_01_cand_000000,page_01,https://eda.rambler.ru/media/recepty/pyat-horoshih-receptov-postnogo-pechenya,https://mc.yandex.ru/watch/105674087,c:\Users\Masha\ML_Projects\photo_classification_project\Photo-Classification\data\raw\page_01\page_01_cand_000000_05b4d2d191.img,mc.yandex.ru,105674087,1.0,1.0,GIF,P,43,1.0,1.0,True,non_content,,True,True,False
page_01_cand_000001,page_01,https://eda.rambler.ru/media/recepty/pyat-horoshih-receptov-postnogo-pechenya,https://mc.yandex.ru/watch/27509004,c:\Users\Masha\ML_Projects\photo_classification_project\Photo-Classification\data\raw\page_01\page_01_cand_000001_105a14e1b3.img,mc.yandex.ru,27509004,1.0,1.0,GIF,P,43,1.0,1.0,True,non_content,,True,True,False
page_01_cand_000002,page_01,https://eda.rambler.ru/media/recepty/pyat-horoshih-receptov-postnogo-pechenya,https://mc.yandex.ru/watch/26649402,c:\Users\Masha\ML_Projects\photo_classification_project\Photo-Classification\data\raw\page_01\page_01_cand_000002_9e463b8294.img,mc.yandex.ru,26649402,1.0,1.0,GIF,P,43,1.0,1.0,True,non_content,,True,True,False
page_01_cand_000003,page_01,https://eda.rambler.ru/media/recepty/pyat-horoshih-receptov-postnogo-pechenya,https://counter.rambler.ru/top100.cnt?pid=2635991,c:\Users\Masha\ML_Projects\photo_classification_project\Photo-Classification\data\raw\page_01\page_01_cand_000003_1ec34c7374.img,counter.rambler.ru,top100.cnt,1.0,1.0,GIF,P,43,1.0,1.0,True,non_content,,True,True,True
page_01_cand_000004,page_01,https://eda.rambler.ru/media/recepty/pyat-horoshih-receptov-postnogo-pechenya,https://counter.rambler.ru/top100.cnt?pid=7728281,c:\Users\Masha\ML_Projects\photo_classification_project\Photo-Classification\data\raw\page_01\page_01_cand_000004_5ffb4dcfbb.img,counter.rambler.ru,top100.cnt,1.0,1.0,GIF,P,43,1.0,1.0,True,non_content,,True,True,True
page_01_cand_000005,page_01,https://eda.rambler.ru/media/recepty/pyat-horoshih-receptov-postnogo-pechenya,https://www.tns-counter.ru/V13a****afisha_ru/ru/UTF-8/tmsec=afisha_eda/,c:\Users\Masha\ML_Projects\photo_classification_project\Photo-Classification\data\raw\page_01\page_01_cand_000005_6fbff93bbc.img,www.tns-counter.ru,,1.0,1.0,GIF,P,43,1.0,1.0,True,non_content,,True,True,True
page_01_cand_000006,page_01,https://eda.rambler.ru/media/recepty/pyat-horoshih-receptov-postnogo-pechenya,https://www.tns-counter.ru/V13a****rambler_ad/ru/UTF-8/tmsec=rambler_cid1100108-posid2155101/,c:\Users\Masha\ML_Projects\photo_classification_project\Photo-Classification\data\raw\page_01\page_01_cand_000006_76f3ac9a56.img,www.tns-counter.ru,,1.0,1.0,GIF,P,43,1.0,1.0,True,non_content,,True,True,True
page_01_cand_000007,page_01,https://eda.rambler.ru/media/recepty/pyat-horoshih-receptov-postnogo-pechenya,https://www.tns-counter.ru/V13a****rambler_ad/ru/UTF-8/tmsec=rambler_cid1100104-posid2155079/,c:\Users\Masha\ML_Projects\photo_classification_project\Photo-Classification\data\raw\page_01\page_01_cand_000007_52c27bfc5a.img,www.tns-counter.ru,,1.0,1.0,GIF,P,43,1.0,1.0,True,non_content,,True,True,True
page_01_cand_000008,page_01,https://eda.rambler.ru/media/recepty/pyat-horoshih-receptov-postnogo-pechenya,https://eda.rambler.ru/_next/static/images/rambler-favorites-bd704f5a077fe3675a33743723c233fc.svg,c:\Users\Masha\ML_Projects\photo_classification_project\Photo-Classification\data\raw\page_01\page_01_cand_000008_ef4d0fa974.img,eda.rambler.ru,rambler-favorites-bd704f5a077fe3675a33743723c233fc.svg,,,,,11805,,,False,non_content,,False,False,False
page_01_cand_000009,page_01,https://eda.rambler.ru/media/recepty/pyat-horoshih-receptov-postnogo-pechenya,https://eda.rambler.ru/_next/static/images/rambler-recipes-a1c77bb63384486ec36eb950f2702009.svg,c:\Users\Masha\ML_Projects\photo_classification_project\Photo-Classification\data\raw\page_01\page_01_cand_000009_16d501c7ba.img,eda.rambler.ru,rambler-recipes-a1c77bb63384486ec36eb950f2702009.svg,,,,,16151,,,False,non_content,,False,False,False
